propertyna,latitude,longitude,borough
Holy Cow Playground,40.741304,-73.776396,Queens
Flushing Meadows Corona Park,40.763077,-73.843835,Queens
Kelly Park Playground,40.603745,-73.957878,Brooklyn
Battery Park City,40.71791,-74.015756,Manhattan
Betsy Head Park,40.664259,-73.911736,Brooklyn
Canarsie Park,40.628896,-73.892863,Brooklyn
Marine Park,40.60602,-73.926418,Brooklyn
The High Line,40.752266,-74.001936,Manhattan
McGuire Fields,40.618573,-73.898791,Brooklyn
Pena Herrera Playground,40.64941,-74.012086,Brooklyn
Bronx River Parkway,40.834525,-73.873479,Bronx
Detective Keith L Williams Park,40.701993,-73.78354,Queens
Claremont Park,40.841462,-73.906845,Bronx
Luna Playground,40.575884,-73.977476,Brooklyn
Coney Island Beach & Boardwalk,40.571518,-73.991806,Brooklyn
Shore Park and Parkway,40.617545,-74.040029,Brooklyn
Central Park,40.76736,-73.978163,Manhattan
Markham Playground,40.62311,-74.14584,Staten Island
Yellowstone Park,40.726339,-73.847842,Queens
Crotona Park,40.84197,-73.894856,Bronx
Arsenal West,40.769783,-73.98292,Manhattan
Crotona Park,40.840238,-73.898137,Bronx
St. John's Park,40.673861,-73.934891,Brooklyn
Augustus St. Gaudens Playground,40.735504,-73.982275,Manhattan
Forest Park,40.700906,-73.842471,Queens
McDonald Playground,40.600497,-73.972149,Brooklyn
College Point Fields,40.776423,-73.838611,Queens
Dag Hammarskjold Plaza,40.751811,-73.968025,Manhattan
Hillside Playground,40.741302,-73.713202,Queens
Bloomingdale Park,40.535299,-74.208555,Staten Island
P.O. Serrano Playground,40.823191,-73.850781,Bronx
Coney Island Beach & Boardwalk,40.573131,-73.979108,Brooklyn
Albemarle Playground,40.645837,-73.980305,Brooklyn
Bath Beach Park,40.601911,-74.011092,Brooklyn
Prospect Park,40.663586,-73.973349,Brooklyn
Lafayette Playground,40.594441,-73.985795,Brooklyn
Clove Lakes Park,40.620381,-74.118474,Staten Island
Pelham Bay Park,40.868327,-73.792393,Bronx
Marine Park,40.59658,-73.928008,Brooklyn
Dean Playground,40.680675,-73.972899,Brooklyn
Howard Playground,40.671573,-73.908249,Brooklyn
Sara D. Roosevelt Park,40.720424,-73.992258,Manhattan
Westbourne Playground,40.608274,-73.764664,Queens
Gravesend Park,40.623518,-73.984746,Brooklyn
Edenwald Playground,40.884029,-73.845125,Bronx
Forest Park,40.696026,-73.866434,Queens
First Park,40.723499,-73.989295,Manhattan
Railroad Playground,40.649242,-73.913999,Brooklyn
Van Voorhees Playground,40.68968,-73.999363,Brooklyn
Bronx Park,40.852961,-73.870229,Bronx
Central Park,40.794185,-73.952734,Manhattan
Red Hook Recreation Area,40.672382,-74.004045,Brooklyn
Flushing Meadows Corona Park,40.733513,-73.837183,Queens
Pena Herrera Playground,40.649492,-74.012169,Brooklyn
East River Playground,40.789183,-73.93789,Manhattan
Devoe Park,40.863494,-73.905509,Bronx
Van Cortlandt Park,40.907748,-73.89536,Bronx
Baisley Pond Park,40.684565,-73.786177,Queens
Riverside Park South,40.780775,-73.987752,Manhattan
Park Of The Americas,40.748605,-73.86202,Queens
Taylor Playground,40.839001,-73.866293,Bronx
Oakland Gardens,40.753855,-73.759641,Queens
Alfred E. Smith Playground,40.710259,-73.997886,Manhattan
Bedford Playground,40.708355,-73.96383,Brooklyn
Carver Playground,40.680435,-73.920455,Brooklyn
St. John's Park,40.674155,-73.934589,Brooklyn
Ferry Point Park,40.820661,-73.825993,Bronx
Forest Park,40.698396,-73.858391,Queens
J. Hood Wright Park,40.845769,-73.940793,Manhattan
John V. Lindsay East River Park,40.717194,-73.974288,Manhattan
Lost Battalion Hall Recreation Center,40.731804,-73.865513,Queens
Pelham Bay Park,40.866412,-73.794146,Bronx
Slope Park Playground,40.661177,-73.989764,Brooklyn
Cunningham Park,40.735696,-73.770263,Queens
Prospect Park,40.665569,-73.971586,Brooklyn
Forest Park,40.698816,-73.857467,Queens
Alley Pond Park,40.758812,-73.753808,Queens
Ocean Breeze Park,40.583077,-74.075188,Staten Island
Macombs Dam Park,40.828292,-73.92788,Bronx
Soundview Park,40.817577,-73.878815,Bronx
Flushing Meadows Corona Park,40.751408,-73.833778,Queens
Emerald Playground,40.730842,-73.805953,Queens
Stockton Playground,40.69749,-73.948882,Brooklyn
Randall's Island Park,40.793955,-73.921164,Manhattan
Flushing Meadows Corona Park,40.746248,-73.850447,Queens
Alley Pond Park,40.741424,-73.739914,Queens
Willets Point Playground,40.783773,-73.796652,Queens
Lieutenant John H. Martinson Playground,40.537069,-74.162652,Staten Island
Riverside Park,40.803037,-73.970074,Manhattan
Highbridge Park,40.831624,-73.940161,Manhattan
Broad Channel Park,40.600794,-73.819743,Queens
Fort Totten Park,40.793049,-73.776753,Queens
Maria Hernandez Park,40.703207,-73.92359,Brooklyn
Forest Park,40.702706,-73.867186,Queens
Prospect Park,40.657283,-73.964002,Brooklyn
Delphin H. Greene Playground,40.684581,-73.728681,Queens
Canarsie Park,40.628802,-73.896209,Brooklyn
Morgan Playground,40.832282,-73.9074,Bronx
Bildersee Playground,40.63591,-73.912162,Brooklyn
Raymond Bush Playground,40.686601,-73.939146,Brooklyn
Union Square Park,40.735564,-73.990786,Manhattan
Flushing Meadows Corona Park,40.750338,-73.836694,Queens
Roy Wilkins Recreation Center,40.685761,-73.769994,Queens
Prospect Park,40.660772,-73.973859,Brooklyn
Galileo Playground,40.848634,-73.915673,Bronx
Kissena Corridor Park,40.749871,-73.822989,Queens
Jackie Robinson Park,40.824673,-73.942261,Manhattan
Joseph C. Sauer Park,40.728163,-73.979385,Manhattan
Maurice A FitzGerald Playground,40.690241,-73.839589,Queens
Battery Park City,40.704719,-74.017973,Manhattan
Bellaire Playground,40.721491,-73.757909,Queens
Marine Park,40.608258,-73.93618,Brooklyn
LaGuardia Landing Lights,40.76224,-73.890017,Queens
Powell Playground,40.67132,-73.904786,Brooklyn
McCarren Park,40.721771,-73.954973,Brooklyn
Commodore Barry Park,40.697852,-73.977727,Brooklyn
Gravesend Park,40.623441,-73.982913,Brooklyn
Cypress Hills Playground,40.670114,-73.871166,Brooklyn
Midland Playground,40.574852,-74.098375,Staten Island
Virginia Park,40.83356,-73.86171,Bronx
Tompkins Square Park,40.726641,-73.982543,Manhattan
Belmont Playground,40.850056,-73.888012,Bronx
Rosemary's Playground,40.704439,-73.904605,Queens
Coney Island Beach & Boardwalk,40.573911,-73.971589,Brooklyn
Flushing Meadows Corona Park,40.745493,-73.845951,Queens
Emerald Playground,40.731346,-73.806077,Queens
Bridge Park,40.848868,-73.925126,Bronx
Central Park,40.769104,-73.974625,Manhattan
Steeplechase Park,40.572852,-73.984106,Brooklyn
Crotona Park,40.836922,-73.894649,Bronx
McKinley Park,40.625205,-74.01763,Brooklyn
Brooklyn Botanic Garden,40.664806,-73.961898,Brooklyn
South Pacific Playground,40.675898,-73.920609,Brooklyn
Flushing Meadows Corona Park,40.732671,-73.837889,Queens
Riverside Park,40.783828,-73.986352,Manhattan
Hunter's Point South Park,40.739452,-73.962076,Queens
Frank Principe Park,40.728163,-73.905777,Queens
Wagner Houses Pool,40.801768,-73.933001,Manhattan
Thomas Jefferson Park,40.792325,-73.936122,Manhattan
Monsignor Crawford Field,40.614752,-73.915874,Brooklyn
Dyker Beach Park,40.604693,-74.020114,Brooklyn
Forest Park,40.707601,-73.851131,Queens
Penn Triangle,40.700677,-73.960889,Brooklyn
Bushwick Playground,40.701844,-73.939596,Brooklyn
Gilbert Ramirez Park,40.706009,-73.934573,Brooklyn
Vincent F. Albano Jr. Playground,40.741959,-73.978617,Manhattan
Ethan Allen Playground,40.655778,-73.886815,Brooklyn
Prospect Park,40.66124,-73.973568,Brooklyn
Playground 103 CIII,40.78726,-73.938938,Manhattan
Inwood Hill Park,40.874529,-73.920041,Manhattan
Prospect Park,40.671921,-73.970069,Brooklyn
McCarren Park,40.720588,-73.953821,Brooklyn
Kelly Park Playground,40.604315,-73.957095,Brooklyn
Carl Schurz Park,40.775702,-73.943903,Manhattan
Fort Tryon Park,40.859029,-73.934789,Manhattan
Francis Lewis Park,40.79646,-73.824775,Queens
Carmansville Playground,40.829172,-73.94433,Manhattan
General Hart Playground,40.748689,-73.89718,Queens
Coney Island Beach & Boardwalk,40.572186,-73.988172,Brooklyn
Bushwick Playground,40.701611,-73.939376,Brooklyn
St. Catherine's Park,40.765175,-73.958853,Manhattan
Manhattan Beach Park,40.576569,-73.945391,Brooklyn
Central Park,40.776161,-73.975488,Manhattan
St. Mary's Park,40.812653,-73.913481,Bronx
Dyker Beach Park,40.606373,-74.016927,Brooklyn
Coney Island Beach & Boardwalk,40.575402,-73.956068,Brooklyn
Grant Park,40.83782,-73.912335,Bronx
Pelham Bay Park,40.869484,-73.791144,Bronx
Rev Lena Irons Unity Park,40.830991,-73.906862,Bronx
Lindower Park,40.612402,-73.910983,Brooklyn
Mafera Park,40.707551,-73.891771,Queens
Hinton Park,40.756723,-73.855112,Queens
Kissena Corridor Park,40.744695,-73.787682,Queens
Riverside Park,40.793368,-73.977997,Manhattan
Wingate Park,40.658021,-73.943511,Brooklyn
Van Dyke Playground,40.664246,-73.903823,Brooklyn
Rockaway Beach Boardwalk,40.58328,-73.815341,Queens
Parade Ground,40.648963,-73.969907,Brooklyn
Wolfe's Pond Park,40.517379,-74.190986,Staten Island
Lyons Pool,40.637536,-74.074754,Staten Island
Wakefield Playground,40.902272,-73.853916,Bronx
Evergreen Playground,40.686218,-73.910856,Brooklyn
Van Cortlandt Park,40.890609,-73.897479,Bronx
Central Park,40.797062,-73.951457,Manhattan
Rockaway Beach,40.577941,-73.835231,Queens
Prospect Park,40.665364,-73.965469,Brooklyn
Prospect Park,40.652232,-73.971868,Brooklyn
Harris Park,40.875751,-73.893474,Bronx
Tudor Park,40.673695,-73.855534,Queens
Seward Park,40.714542,-73.989797,Manhattan
Castlewood Playground,40.749715,-73.720855,Queens
Hendrick I. Lott House,40.610593,-73.932504,Brooklyn
Marx Brothers Playground,40.784388,-73.946298,Manhattan
Thomas Paine Park,40.714829,-74.002704,Manhattan
Williamsbridge Oval,40.877696,-73.877967,Bronx
Colonel David Marcus Playground,40.610018,-73.969023,Brooklyn
Inwood Hill Park,40.871093,-73.921646,Manhattan
Cambria Playground,40.68948,-73.743175,Queens
Marcus Garvey Park,40.803413,-73.942679,Manhattan
Centreville Playground,40.670493,-73.83928,Queens
Mother Cabrini Park,40.684325,-74.005118,Brooklyn
Flushing Meadows Corona Park,40.743106,-73.848905,Queens
Hunts Point Riverside Park,40.817842,-73.881552,Bronx
Juniper Valley Park,40.720995,-73.880513,Queens
Chelsea Park,40.749839,-74.00109,Manhattan
Prospect Park,40.663396,-73.977091,Brooklyn
Queens Valley Playground,40.721778,-73.823857,Queens
Abigail Playground,40.817311,-73.904718,Bronx
Flushing Fields,40.774274,-73.817309,Queens
Grove Hill Playground,40.819833,-73.908885,Bronx
Sunset Park,40.647572,-74.004537,Brooklyn
Sara D. Roosevelt Park,40.722536,-73.990968,Manhattan
St. James Park,40.865488,-73.898379,Bronx
Von Briesen Park,40.607076,-74.060425,Staten Island
Mathews-Palmer Playground,40.761207,-73.992943,Manhattan
Cherry Clinton Playground,40.7114,-73.986474,Manhattan
Franklin D. Roosevelt Boardwalk and Beach,40.579648,-74.076109,Staten Island
Blue Heron Park,40.530889,-74.177809,Staten Island
Herman Dolgon Playground,40.598005,-73.940532,Brooklyn
Tappen Park,40.626798,-74.076633,Staten Island
Crotona Park,40.837264,-73.894588,Bronx
Marine Park,40.603871,-73.934204,Brooklyn
Faber Pool and Park,40.641057,-74.135743,Staten Island
McLaughlin Park,40.696615,-73.986311,Brooklyn
Haffen Park,40.873469,-73.839276,Bronx
Washington Square Park,40.730316,-73.997656,Manhattan
Mathews-Palmer Playground,40.761372,-73.99257,Manhattan
Rufus King Park,40.703881,-73.804844,Queens
Booker T. Washington Playground,40.800948,-73.963282,Manhattan
Manhattan Beach Park,40.576757,-73.942974,Brooklyn
Silver Lake Park,40.628076,-74.098967,Staten Island
Brooklyn Bridge Park,40.692269,-74.000954,Brooklyn
Calvert Vaux Park,40.586013,-73.992727,Brooklyn
Beach 17 Playground,40.594793,-73.74756,Queens
Central Park,40.777294,-73.963933,Manhattan
Veterans Grove,40.742755,-73.877592,Queens
Jackie Robinson Park,40.827887,-73.939809,Manhattan
Conference House Park,40.502286,-74.251743,Staten Island
Kissena Park,40.745865,-73.810891,Queens
St. Mary's Park,40.811468,-73.914103,Bronx
Sara D. Roosevelt Park,40.716719,-73.994081,Manhattan
Heckscher Playground,40.695005,-73.918284,Brooklyn
Rockaway Beach and Boardwalk,40.591437,-73.775203,Queens
Aqueduct Walk,40.851088,-73.914435,Bronx
Continental Army Plaza,40.710757,-73.960362,Brooklyn
Flushing Meadows Corona Park,40.749511,-73.83628,Queens
Harris Park,40.875241,-73.892568,Bronx
Baisley Pond Park,40.676987,-73.786577,Queens
Parade Ground,40.651089,-73.968444,Brooklyn
Tompkins Square Park,40.726435,-73.980843,Manhattan
Happy Warrior Playground,40.795292,-73.968852,Manhattan
Playground Ninety,40.757446,-73.878422,Queens
De Witt Clinton Park,40.768485,-73.994233,Manhattan
Christopher J. Igneri Playground,40.608732,-74.119429,Staten Island
Challenge Playground,40.756343,-73.72809,Queens
Flushing Meadows Corona Park,40.741916,-73.849525,Queens
Bush Terminal Park,40.653359,-74.019562,Brooklyn
Hart Playground,40.774057,-73.819403,Queens
Manhattan Beach Park,40.576762,-73.942941,Brooklyn
Alexander's Alley,40.811543,-73.923197,Bronx
Asser Levy Playground,40.736143,-73.975668,Manhattan
Bloomingdale Playground,40.799227,-73.966378,Manhattan
Seton Park,40.885764,-73.916979,Bronx
Bennett Park,40.853029,-73.937866,Manhattan
Crotona Park,40.840503,-73.897757,Bronx
Haffen Park,40.874323,-73.838761,Bronx
North Shore Esplanade,40.648211,-74.083839,Staten Island
Van Cortlandt Park,40.891078,-73.892606,Bronx
Frederick B. Judge Playground,40.683942,-73.808617,Queens
Hollis Playground,40.706445,-73.753151,Queens
Printers Park,40.82404,-73.89074,Bronx
Police Officer Edward Byrne Park,40.667369,-73.809193,Queens
A.R.R.O.W. Field House,40.755877,-73.926402,Queens
John Hancock Playground,40.682272,-73.95479,Brooklyn
Franklin D. Roosevelt Boardwalk and Beach,40.578459,-74.076961,Staten Island
Marine Park,40.58947,-73.921023,Brooklyn
Central Park,40.780872,-73.9616,Manhattan
Beach 9 Playground,40.595138,-73.746083,Queens
Kissena Park,40.746621,-73.812838,Queens
Frederick Johnson Playground,40.824469,-73.934693,Manhattan
Brevoort Playground,40.680645,-73.922696,Brooklyn
P.O. Serrano Playground,40.823573,-73.850469,Bronx
Coney Island Beach & Boardwalk,40.572907,-73.981214,Brooklyn
Crotona Park,40.835287,-73.896309,Bronx
Van Alst Playground,40.770607,-73.928078,Queens
Pelham Bay Park,40.848881,-73.82223,Bronx
Grover Cleveland Playground,40.711012,-73.911403,Queens
Central Park,40.766073,-73.973511,Manhattan
Central Park,40.7973,-73.9591,Manhattan
Bush Terminal Park,40.65239,-74.020093,Brooklyn
NYC AIDS Memorial Park at St. Vincent’s Triangle,40.737343,-74.001226,Manhattan
Lyons Pool,40.637536,-74.074754,Staten Island
Russell Pedersen Playground,40.626133,-74.036432,Brooklyn
Mellett Playground,40.597205,-73.957375,Brooklyn
The Battery,40.703954,-74.014715,Manhattan
Percy E. Sutton Playground,40.825302,-73.934843,Manhattan
Helen Marshall Playground,40.765606,-73.871445,Queens
Williamsbridge Oval,40.878018,-73.875931,Bronx
Fermi Playground,40.700775,-73.928026,Brooklyn
Brooklyn Botanic Garden,40.66722,-73.964318,Brooklyn
Hoffman Park,40.733088,-73.872357,Queens
City Hall Park,40.712831,-74.005154,Manhattan
Al Quiñones Playground,40.81498,-73.902024,Bronx
Langston Hughes Playground,40.812238,-73.946983,Manhattan
Red Hook Recreation Area,40.673369,-74.003785,Brooklyn
Marine Park,40.600357,-73.914213,Brooklyn
St. Vartan Park,40.744946,-73.973257,Manhattan
Sunset Park,40.646921,-74.002121,Brooklyn
Friends Field,40.617932,-73.973001,Brooklyn
Sol Lain Plgd,40.714308,-73.983608,Manhattan
Arsenal West,40.769783,-73.98292,Manhattan
Highland Park,40.683911,-73.885969,Queens
London Planetree Playground,40.686436,-73.853533,Queens
Playground Eighty LXXX,40.744791,-73.709519,Queens
Astoria Park,40.778958,-73.921957,Queens
Breukelen Ballfields,40.653682,-73.893998,Brooklyn
John Paul Jones Park,40.61089,-74.032901,Brooklyn
Sohncke Square,40.745505,-73.906189,Queens
Seaside Playground,40.580923,-73.830748,Queens
Rockaway Beach Boardwalk,40.582963,-73.817548,Queens
Astoria Park,40.778336,-73.922723,Queens
John V. Lindsay East River Park,40.719685,-73.974398,Manhattan
Ferry Point Park,40.815079,-73.837958,Bronx
Charlie's Place,40.699334,-73.946393,Brooklyn
Blue Playground,40.711007,-73.955045,Brooklyn
Alley Athletic Playground,40.739517,-73.736077,Queens
Merriam Playground,40.838939,-73.926411,Bronx
Paerdegat Park,40.637034,-73.938139,Brooklyn
Walker Park,40.643717,-74.108828,Staten Island
Highbridge Park,40.841523,-73.935289,Manhattan
Harold Schneiderman Playground,40.664649,-73.850639,Queens
Goble Playground,40.843714,-73.917302,Bronx
Forest Park,40.700822,-73.858115,Queens
Ogden Plimpton Playground,40.84179,-73.923774,Bronx
Central Park,40.79122,-73.959944,Manhattan
Seeley Park,40.653439,-73.978038,Brooklyn
Bartlett Playground,40.700835,-73.945952,Brooklyn
Betsy Head Park,40.662372,-73.912861,Brooklyn
The Painter's Playground,40.720724,-73.859571,Queens
Corona Golf Playground,40.747441,-73.85455,Queens
Forest Park,40.697399,-73.856648,Queens
West Harlem Piers,40.818557,-73.961329,Manhattan
Manhattan Beach Park,40.577257,-73.94674,Brooklyn
Martin Luther King Jr. Playground,40.667366,-73.89024,Brooklyn
Dry Dock Playground,40.725616,-73.975319,Manhattan
Fort Totten Park,40.792228,-73.779669,Queens
Dimattina Playground,40.679645,-74.003062,Brooklyn
Walter Gladwin Park,40.844333,-73.894715,Bronx
High Rock Park,40.58262,-74.123029,Staten Island
Brookfield Park,40.561886,-74.160949,Staten Island
Eleanor Roosevelt Playground,40.692709,-73.935822,Brooklyn
Soundview Park,40.818507,-73.877352,Bronx
Catharine Turner Richardson Park,40.768275,-73.74714,Queens
Alfred E. Smith Playground,40.710185,-73.997636,Manhattan
Eastchester Playground,40.869809,-73.852607,Bronx
Breininger Park,40.725626,-73.729035,Queens
Central Park,40.782216,-73.968238,Manhattan
Frank Principe Park,40.727505,-73.905948,Queens
Margaret I. Carman Green - Weeping Beech,40.763459,-73.824804,Queens
Coney Island Beach & Boardwalk,40.574001,-73.971478,Brooklyn
Lemon Creek Park,40.511048,-74.210042,Staten Island
Rose Hill Park,40.86207,-73.890356,Bronx
Bronx Park,40.851641,-73.870238,Bronx
Poppenhusen Playground,40.78116,-73.844416,Queens
Central Park,40.784734,-73.967261,Manhattan
J. Hood Wright Park,40.846444,-73.940763,Manhattan
Grand Playground,40.855985,-73.907378,Bronx
Whole Foods PAA,40.675031,-73.990218,Brooklyn
Bayview Playground,40.634776,-73.887415,Brooklyn
Crispus Attucks Playground,40.681624,-73.959027,Brooklyn
Alley Pond Park,40.741878,-73.74721,Queens
Estella Diggs Park,40.828854,-73.905873,Bronx
St. Mary's Park,40.811468,-73.914103,Bronx
Metropolitan Recreation Center,40.715012,-73.960317,Brooklyn
Randall's Island Park,40.799257,-73.923266,Manhattan
Fort Tryon Park,40.865206,-73.929432,Manhattan
Bill Rainey Park,40.819598,-73.897006,Bronx
Park Slope Playground,40.676769,-73.978534,Brooklyn
Sakura Park,40.813517,-73.962004,Manhattan
Pelham Bay Park,40.864791,-73.794672,Bronx
Brownsville Playground,40.656495,-73.902484,Brooklyn
Central Park,40.791096,-73.959969,Manhattan
Flushing Meadows Corona Park,40.745571,-73.84431,Queens
Flushing Meadows Corona Park,40.760747,-73.856267,Queens
Cunningham Park,40.729756,-73.776769,Queens
Linnaeus Park,40.753865,-73.751401,Queens
The Battery,40.702604,-74.015968,Manhattan
College Point Park,40.785929,-73.845903,Queens
Linden Park,40.65929,-73.886281,Brooklyn
Morningside Park,40.803001,-73.958779,Manhattan
Belmont Playground,40.849919,-73.887259,Bronx
Linwood Playground,40.666216,-73.880377,Brooklyn
Joyce Kilmer Park,40.829559,-73.921661,Bronx
Midland Field,40.576707,-74.098986,Staten Island
Williamsbridge Oval,40.876656,-73.878571,Bronx
Lincoln Terrace / Arthur S. Somers Park,40.666657,-73.925553,Brooklyn
Highland Park,40.683994,-73.8881,Queens
Washington Skate Park,40.672929,-73.985855,Brooklyn
Sgt. William Dougherty Playground,40.723562,-73.936952,Brooklyn
Van Cortlandt Park,40.903526,-73.894766,Bronx
Randall's Island Park,40.79288,-73.924708,Manhattan
River Avenue Parks,40.825486,-73.926874,Bronx
Chester Playground,40.66899,-73.911925,Brooklyn
Flushing Meadows Corona Park,40.74353,-73.842346,Queens
Rockaway Beach and Boardwalk,40.589048,-73.788518,Queens
Corporal John A. Seravalli Playground,40.738941,-74.004627,Manhattan
Central Park,40.772086,-73.967714,Manhattan
Parade Ground,40.650486,-73.967314,Brooklyn
Torsney Playground,40.74726,-73.921765,Queens
Crocheron Park,40.770072,-73.770251,Queens
Central Park,40.769139,-73.973832,Manhattan
Baisley Pond Park,40.668991,-73.788025,Queens
Locust Manor Playground,40.686114,-73.755882,Queens
Pelham Bay Park,40.868587,-73.792601,Bronx
Bridge Park 3,40.700451,-73.984873,Brooklyn
Marie Curie Playground,40.757085,-73.771578,Queens
Big Bush Playground,40.739216,-73.902389,Queens
Prospect Park,40.662459,-73.965426,Brooklyn
Coney Island Boat Basin,40.58309,-73.990174,Brooklyn
Travers Park,40.754216,-73.889294,Queens
De Witt Clinton Park,40.768096,-73.993248,Manhattan
Shore Park and Parkway,40.632001,-74.038635,Brooklyn
Daniel M. O'Connell Playground,40.700046,-73.758113,Queens
Vesuvio Playground,40.725569,-74.00244,Manhattan
WNYC Transmitter Park,40.730101,-73.960635,Brooklyn
Adam Yauch Park,40.691703,-73.998694,Brooklyn
Albert J. Parham Playground,40.69057,-73.970791,Brooklyn
Beach 30th Street Playground,40.591887,-73.763666,Queens
Columbus Park,40.715755,-74.000245,Manhattan
Canarsie Park,40.628961,-73.895972,Brooklyn
Little Bay Park,40.788561,-73.791389,Queens
Rockaway Beach and Boardwalk,40.592597,-73.753536,Queens
Westerleigh Park,40.619843,-74.134663,Staten Island
Washington Park,40.673541,-73.985708,Brooklyn
Riverside Park,40.793368,-73.977997,Manhattan
Cunningham Park,40.739335,-73.765314,Queens
Markham Playground,40.62415,-74.14578,Staten Island
Wards Island Park,40.782306,-73.925864,Manhattan
Bronx Park,40.869247,-73.876506,Bronx
Randall's Island Park,40.799292,-73.923588,Manhattan
Winthrop Playground,40.656507,-73.954759,Brooklyn
Whitey Ford Field,40.77723,-73.935117,Queens
Linden Park,40.658242,-73.887302,Brooklyn
John V. Lindsay East River Park,40.724191,-73.972897,Manhattan
Playground Seventy Five,40.726334,-73.80837,Queens
Conch Playground,40.59608,-73.781167,Queens
Pelham Bay Park,40.851077,-73.819883,Bronx
Msgr. McGolrick Park,40.725277,-73.943359,Brooklyn
Dr. Green Playground,40.666935,-73.906643,Brooklyn
Idlewild Park,40.657091,-73.759344,Queens
East River Waterfront Esplanade,40.704837,-74.005052,Manhattan
Sixteen Sycamores Playground,40.68674,-73.980706,Brooklyn
Flushing Meadows Corona Park,40.751368,-73.848349,Queens
Flushing Meadows Corona Park,40.747649,-73.847029,Queens
Loreto Playground,40.8486,-73.85193,Bronx
Hamilton Fish Park,40.720242,-73.981157,Manhattan
Drew Playground,40.833156,-73.903293,Bronx
Washington Park,40.855815,-73.893617,Bronx
Clove Lakes Park,40.618252,-74.1071,Staten Island
Central Park,40.796601,-73.954048,Manhattan
Half-Nelson Playground,40.846766,-73.919245,Bronx
Central Park,40.791608,-73.95552,Manhattan
Surf Playground,40.573637,-73.992657,Brooklyn
Kissena Corridor Park,40.748916,-73.822226,Queens
Lincoln Terrace / Arthur S. Somers Park,40.66628,-73.928116,Brooklyn
Wayanda Park,40.710691,-73.739669,Queens
Prospect Park,40.661604,-73.967964,Brooklyn
Pelham Bay Park,40.864497,-73.79472,Bronx
Cobble Hill Park,40.688318,-73.996455,Brooklyn
McGuire Fields,40.619412,-73.900159,Brooklyn
John Jay Park,40.769538,-73.949318,Manhattan
Franklin D. Roosevelt Boardwalk and Beach,40.573287,-74.084519,Staten Island
Juniper Valley Park,40.720957,-73.877558,Queens
Red Hook Recreation Area,40.672414,-74.006848,Brooklyn
Flushing Meadows Corona Park,40.744803,-73.838756,Queens
Harry Chapin Playground,40.700561,-73.995147,Brooklyn
Latimer Playground,40.696326,-73.786558,Queens
Newport Playground,40.660949,-73.90687,Brooklyn
Clove Lakes Park,40.617949,-74.105597,Staten Island
Francis Lewis Park,40.795896,-73.825202,Queens
Bushwick Playground,40.70169,-73.939244,Brooklyn
Rochdale Park,40.674113,-73.774417,Queens
Jackie Robinson Park Playground,40.680142,-73.927685,Brooklyn
Marine Park,40.596826,-73.928461,Brooklyn
Bellevue South Park,40.740252,-73.978054,Manhattan
McLaughlin Park,40.696351,-73.986626,Brooklyn
Astoria Heights Playground,40.760083,-73.911922,Queens
John V. Lindsay East River Park,40.714418,-73.976107,Manhattan
Columbus Park,40.714191,-73.999755,Manhattan
Rev. T. Wendell Foster Park and Recreation Center,40.831631,-73.92409,Bronx
James Weldon Johnson Playground,40.796976,-73.941898,Manhattan
Babi Yar Triangle,40.579383,-73.954522,Brooklyn
Central Park,40.768968,-73.974415,Manhattan
Fermi Playground,40.700332,-73.928612,Brooklyn
Captain William Harry Thompson Playground,40.834512,-73.877807,Bronx
People's Park,40.809433,-73.917027,Bronx
Crotona Park,40.840033,-73.895347,Bronx
Beach 17 Playground,40.594864,-73.750826,Queens
Friends Field,40.618819,-73.972678,Brooklyn
Sgt. William Dougherty Playground,40.723852,-73.936286,Brooklyn
Lt. Wm. Tighe Triangle,40.865846,-73.92812,Manhattan
Slattery Playground,40.857332,-73.898288,Bronx
Williamsbridge Oval,40.876592,-73.877927,Bronx
Calvert Vaux Park,40.587787,-73.990256,Brooklyn
Murray Playground,40.74697,-73.948196,Queens
East Flatbush Children's Playground,40.663298,-73.926913,Brooklyn
Central Park,40.768413,-73.981071,Manhattan
Kissena Park,40.742311,-73.808407,Queens
Sidney Hillman Playground,40.715267,-73.979748,Manhattan
St. Nicholas Park,40.815938,-73.948858,Manhattan
Flushing Meadows Corona Park,40.744784,-73.83876,Queens
White Playground,40.791823,-73.945668,Manhattan
Prospect Park,40.665366,-73.974551,Brooklyn
Prospect Park,40.655225,-73.971919,Brooklyn
Harding Park,40.810173,-73.856874,Bronx
Park,40.650934,-73.973986,Brooklyn
Grace Playground,40.671602,-73.894563,Brooklyn
Coney Island Beach & Boardwalk,40.575053,-73.959352,Brooklyn
Van Cortlandt Park,40.89713,-73.894854,Bronx
Corona Golf Playground,40.747629,-73.854756,Queens
P.S. 279 Playground,40.644547,-73.893291,Brooklyn
Highland Park,40.685184,-73.883491,Queens
Emerald Playground,40.730771,-73.806067,Queens
Juniper Valley Park,40.719779,-73.882585,Queens
Marble Hill Playground,40.877719,-73.907849,Bronx
Central Park,40.797993,-73.952468,Manhattan
Gen. Douglas MacArthur Park,40.586016,-74.100615,Staten Island
Queensbridge Park,40.757232,-73.948109,Queens
Carl Schurz Park,40.775721,-73.943018,Manhattan
Pelham Bay Park,40.858103,-73.802073,Bronx
St. John's Park,40.673691,-73.933902,Brooklyn
Fordham Landing Playground,40.863205,-73.910673,Bronx
