propertyna,latitude,longitude,borough
Kaiser Park,40.578427,-73.995012,Brooklyn
Central Park,40.773037,-73.974391,Manhattan
Forest Park,40.696026,-73.866434,Queens
Sophie Irene Loeb,40.713259,-73.994251,Manhattan
Stebbins Playground,40.822696,-73.898619,Bronx
Gravesend Park,40.623562,-73.984336,Brooklyn
Astoria Park,40.780245,-73.922083,Queens
Hoffman Park,40.732939,-73.871681,Queens
General Hart Playground,40.748753,-73.897259,Queens
Bronx Park,40.860447,-73.871509,Bronx
Wingate Park,40.658987,-73.944346,Brooklyn
Dimattina Playground,40.680702,-74.002071,Brooklyn
Hamilton Fish Park,40.719657,-73.980181,Manhattan
Magenta Playground,40.8735,-73.867988,Bronx
Marine Park,40.607861,-73.937449,Brooklyn
Russell Pedersen Playground,40.626417,-74.036221,Brooklyn
Evergreen Playground,40.686062,-73.910844,Brooklyn
John V. Lindsay East River Park,40.718351,-73.974564,Manhattan
Cunningham Park,40.72735,-73.774286,Queens
Bush Terminal Park,40.651657,-74.020543,Brooklyn
Pelham Bay Park,40.847124,-73.825707,Bronx
Van Voorhees Playground,40.689908,-73.999721,Brooklyn
Elmhurst Park,40.730303,-73.885151,Queens
Bowne Park,40.770557,-73.807743,Queens
Winthrop Playground,40.65653,-73.954529,Brooklyn
Arsenal West,40.769783,-73.982919,Manhattan
Lyons Pool,40.637213,-74.074571,Staten Island
Austin J. McDonald Playground,40.62956,-74.115587,Staten Island
Crocheron Park,40.770981,-73.771549,Queens
Seaside Playground,40.580348,-73.831359,Queens
Luna Playground,40.57606,-73.978922,Brooklyn
The Battery,40.701505,-74.012686,Manhattan
Devoe Park,40.863292,-73.907021,Bronx
Breukelen Ballfields,40.653955,-73.893614,Brooklyn
Lott Park,40.648058,-73.954111,Brooklyn
Thomas J. Cuite Park,40.654259,-73.978761,Brooklyn
Mathews-Palmer Playground,40.761178,-73.992734,Manhattan
Abraham Lincoln Playground,40.812412,-73.937275,Manhattan
Rockaway Beach,40.577827,-73.835484,Queens
Forest Park,40.698396,-73.858391,Queens
Ocean Breeze Park,40.583077,-74.075188,Staten Island
Prospect Park,40.6704,-73.96915,Brooklyn
Williamsbridge Square,40.877145,-73.86669,Bronx
Riverside Park,40.787196,-73.98194,Manhattan
Watson Gleason Playground,40.827803,-73.868781,Bronx
Pelham Bay Park,40.867784,-73.792974,Bronx
Harris Park,40.876281,-73.890625,Bronx
Alley Pond Park,40.758769,-73.754008,Queens
Kissena Corridor Park,40.743093,-73.782566,Queens
Flushing Meadows Corona Park,40.746214,-73.850461,Queens
Central Park,40.789427,-73.961891,Manhattan
Reiff Playground,40.718836,-73.902063,Queens
Alley Pond Park,40.74267,-73.738739,Queens
Willets Point Playground,40.783791,-73.79646,Queens
CPL. Thompson Park,40.636896,-74.11939,Staten Island
Prall Playground,40.628399,-74.118506,Staten Island
Stockton Playground,40.697117,-73.948645,Brooklyn
Soundview Park,40.817351,-73.878081,Bronx
Broad Channel Park,40.600463,-73.819972,Queens
Detective Keith L Williams Park,40.703887,-73.785331,Queens
Rockaway Beach,40.578604,-73.833127,Queens
Willowbrook Parkway,40.588369,-74.139097,Staten Island
Rockaway Beach Boardwalk,40.580556,-73.826116,Queens
Potomac Playground,40.682089,-73.944319,Brooklyn
Flushing Meadows Corona Park,40.746282,-73.850436,Queens
Bowne Playground,40.758245,-73.824701,Queens
Wakefield Playground,40.901919,-73.854383,Bronx
Jennifer's Playground,40.619782,-74.163057,Staten Island
Roy Wilkins Recreation Center,40.686545,-73.769764,Queens
Louis Armstrong Playground,40.754894,-73.855186,Queens
Claremont Park,40.83863,-73.907671,Bronx
Tappen Park,40.627047,-74.076212,Staten Island
Fort Greene Park,40.692504,-73.977003,Brooklyn
Midland Field,40.576675,-74.098502,Staten Island
Playground Eighty Nine LXXXIX,40.788779,-73.971891,Manhattan
Rufus King Park,40.703293,-73.803552,Queens
Central Park,40.79104,-73.964372,Manhattan
Terrace Playground,40.613543,-74.098317,Staten Island
