site_name,latitude,longitude,boro_name
Grand Army Plaza,40.672228846277385,-73.96907239517039,Brooklyn
Corona Plaza,40.749641210584436,-73.86263617949007,Queens
Madison Square Park,40.74130070685068,-73.98784339765555,Manhattan
Plaza de Las Americas,40.845921274115156,-73.93799584577218,Manhattan
Fordham Plaza,40.86082598604117,-73.89115785635154,Bronx
Williamsburg Bridge Bus Depot,40.70918085584479,-73.95922490574443,Brooklyn
Louis Valentino Jr. Park and Pier,40.6781,-74.0171,Brooklyn
