neighborhood_tabulation_area_nta,latitude,longitude,boro
Rego Park,40.73235,-73.86181,Queens
Elmhurst-Maspeth,40.739922,-73.895296,Queens
Turtle Bay-East Midtown,40.759756,-73.968048,Manhattan
Kingsbridge Heights,40.863114,-73.904575,Bronx
Upper West Side,40.788002,-73.976551,Manhattan
Bushwick North,40.692899,-73.911892,Brooklyn
Washington Heights South,40.836018,-73.947447,Manhattan
Midtown-Midtown South,40.749537,-73.995245,Manhattan
Upper East Side-Carnegie Hill,40.764097,-73.970823,Manhattan
West Concourse,40.819886,-73.926847,Bronx
Central Harlem South,40.808793,-73.948125,Manhattan
South Jamaica,40.69689,-73.784262,Queens
Clinton Hill,40.683077,-73.964633,Brooklyn
Upper East Side-Carnegie Hill,40.774498,-73.963723,Manhattan
Cypress Hills-City Line,40.684317,-73.869636,Brooklyn
Hudson Yards-Chelsea-Flatiron-Union Square,40.744403,-73.998993,Manhattan
New Dorp-Midland Beach,40.572853,-74.114087,Staten Island
Turtle Bay-East Midtown,40.755233,-73.971032,Manhattan
Lincoln Square,40.776177,-73.987283,Manhattan
University Heights-Morris Heights,40.845701,-73.914456,Bronx
Yorkville,40.778003,-73.954428,Manhattan
Turtle Bay-East Midtown,40.756174,-73.967829,Manhattan
Hamilton Heights,40.823326,-73.953041,Manhattan
Bushwick South,40.698876,-73.938447,Brooklyn
Chinatown,40.71392,-73.99386,Manhattan
Crown Heights South,40.666415,-73.959578,Brooklyn
Hamilton Heights,40.825446,-73.947868,Manhattan
Kew Gardens,40.707531,-73.831361,Queens
Bedford Park-Fordham North,40.861272,-73.891991,Bronx
Upper West Side,40.786403,-73.9783,Manhattan
East Williamsburg,40.701419,-73.942908,Brooklyn
Washington Heights South,40.833861,-73.941447,Manhattan
Turtle Bay-East Midtown,40.756298,-73.963978,Manhattan
Astoria,40.7631,-73.927935,Queens
Upper West Side,40.796138,-73.970931,Manhattan
Ocean Hill,40.678354,-73.911008,Brooklyn
Midtown-Midtown South,40.758022,-73.985832,Manhattan
St. Albans,40.691655,-73.779475,Queens
Central Harlem North-Polo Grounds,40.810989,-73.950711,Manhattan
SoHo-TriBeCa-Civic Center-Little Italy,40.72287,-74.00798,Manhattan
West Village,40.738278,-74.005671,Manhattan
Mott Haven-Port Morris,40.813128,-73.908991,Bronx
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.687814,-73.981284,Brooklyn
Norwood,40.8788455,-73.8726646,Bronx
Astoria,40.763553,-73.928514,Queens
Crown Heights North,40.673527,-73.950078,Brooklyn
St. Albans,40.683557,-73.769086,Queens
East Harlem North,40.799528,-73.943527,Manhattan
Elmhurst,40.734162,-73.873658,Queens
Melrose South-Mott Haven North,40.820102,-73.912838,Bronx
Washington Heights South,40.844756,-73.936847,Manhattan
Murray Hill-Kips Bay,40.743659,-73.976843,Manhattan
Washington Heights South,40.843567,-73.937807,Manhattan
New Dorp-Midland Beach,40.576811,-74.103565,Staten Island
Erasmus,40.63856,-73.953603,Brooklyn
Lincoln Square,40.775443,-73.982367,Manhattan
Prospect Lefferts Gardens-Wingate,40.660732,-73.950727,Brooklyn
Fordham South,40.858572,-73.904356,Bronx
Greenpoint,40.7334,-73.954886,Brooklyn
Turtle Bay-East Midtown,40.751182,-73.975188,Manhattan
Borough Park,40.63537,-73.9956,Brooklyn
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.686812,-73.98497,Brooklyn
Longwood,40.812112,-73.903863,Bronx
Bushwick North,40.694474,-73.906284,Brooklyn
West Village,40.732884,-74.000238,Manhattan
Gramercy,40.739531,-73.982889,Manhattan
Mount Hope,40.846434,-73.912958,Bronx
Longwood,40.8129428,-73.9041112,Bronx
Hudson Yards-Chelsea-Flatiron-Union Square,40.741621,-74.001321,Manhattan
Ocean Hill,40.677845,-73.905901,Brooklyn
SoHo-TriBeCa-Civic Center-Little Italy,40.727284,-74.005407,Manhattan
Astoria,40.759199,-73.919649,Queens
Morningside Heights,40.805479,-73.965529,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.748758,-74.006904,Manhattan
Chinatown,40.721425,-73.993454,Manhattan
Midtown-Midtown South,40.749721,-73.988084,Manhattan
Turtle Bay-East Midtown,40.748513,-73.973319,Manhattan
Fort Greene,40.684549,-73.970225,Brooklyn
Upper East Side-Carnegie Hill,40.781503,-73.952279,Manhattan
Crown Heights North,40.672302,-73.957458,Brooklyn
Upper West Side,40.785135,-73.979246,Manhattan
Jamaica,40.703764,-73.790833,Queens
Upper West Side,40.798477,-73.967265,Manhattan
Turtle Bay-East Midtown,40.761731,-73.968802,Manhattan
Jackson Heights,40.754267,-73.896683,Queens
Midtown-Midtown South,40.76583,-73.983368,Manhattan
Lenox Hill-Roosevelt Island,40.770946,-73.959496,Manhattan
Morrisania-Melrose,40.828674,-73.896554,Bronx
Bushwick North,40.698839,-73.922181,Brooklyn
Hamilton Heights,40.824646,-73.947909,Manhattan
Richmond Hill,40.695603,-73.839607,Queens
Astoria,40.769707,-73.916673,Queens
Belmont,40.862571,-73.89037,Bronx
Woodside,40.741506,-73.906524,Queens
Crown Heights North,40.675745,-73.956212,Brooklyn
Hunts Point,40.824938,-73.891636,Bronx
Yorkville,40.783289,-73.950562,Manhattan
Lincoln Square,40.778381,-73.981665,Manhattan
West Village,40.732308,-74.006415,Manhattan
Glen Oaks-Floral Park-New Hyde Park,40.74335,-73.70895,Queens
Clinton Hill,40.679506,-73.955431,Brooklyn
University Heights-Morris Heights,40.84628,-73.9193,Bronx
Murray Hill-Kips Bay,40.739963,-73.979544,Manhattan
Astoria,40.759723,-73.920763,Queens
Woodside,40.753139,-73.907454,Queens
Clinton,40.766437,-73.990262,Manhattan
Elmhurst,40.733342,-73.870838,Queens
Ocean Hill,40.672852,-73.911472,Brooklyn
New Dorp-Midland Beach,40.577771,-74.10231,Staten Island
Washington Heights South,40.846771,-73.935456,Manhattan
Gramercy,40.741291,-73.981512,Manhattan
Astoria,40.765785,-73.919173,Queens
Midtown-Midtown South,40.767008,-73.981859,Manhattan
Murray Hill-Kips Bay,40.74685,-73.977159,Manhattan
Morningside Heights,40.801498,-73.961082,Manhattan
Lincoln Square,40.774913,-73.982388,Manhattan
Mott Haven-Port Morris,40.808544,-73.929074,Bronx
Lenox Hill-Roosevelt Island,40.765119,-73.957694,Manhattan
Murray Hill,40.765108,-73.817129,Queens
Astoria,40.764902,-73.917303,Queens
Midtown-Midtown South,40.760326,-73.983693,Manhattan
Turtle Bay-East Midtown,40.750156,-73.974741,Manhattan
Midtown-Midtown South,40.756742,-73.97653,Manhattan
Murray Hill-Kips Bay,40.74574,-73.981987,Manhattan
Murray Hill-Kips Bay,40.750378,-73.974888,Manhattan
Midtown-Midtown South,40.754951,-73.983899,Manhattan
Upper East Side-Carnegie Hill,40.774207,-73.957499,Manhattan
Upper West Side,40.798954,-73.968326,Manhattan
Turtle Bay-East Midtown,40.756505,-73.970111,Manhattan
Midtown-Midtown South,40.757869,-73.985703,Manhattan
Gramercy,40.741536,-73.981333,Manhattan
Murray Hill-Kips Bay,40.74705,-73.977005,Manhattan
Central Harlem South,40.808733,-73.952093,Manhattan
Upper East Side-Carnegie Hill,40.779454,-73.959681,Manhattan
East Harlem North,40.798139,-73.940036,Manhattan
Upper West Side,40.784423,-73.973816,Manhattan
Mott Haven-Port Morris,40.813998,-73.919171,Bronx
Erasmus,40.647887,-73.958051,Brooklyn
Upper West Side,40.793822,-73.972035,Manhattan
Midtown-Midtown South,40.762906,-73.97203,Manhattan
Melrose South-Mott Haven North,40.818017,-73.916791,Bronx
East Harlem South,40.785818,-73.949031,Manhattan
Lincoln Square,40.777227,-73.982777,Manhattan
East Williamsburg,40.707379,-73.943399,Brooklyn
Washington Heights South,40.834513,-73.944329,Manhattan
,40.674678,-73.8075039,Queens
North Side-South Side,40.714498,-73.961096,Brooklyn
Upper West Side,40.783373,-73.980123,Manhattan
East Village,40.73157,-73.988579,Manhattan
Hollis,40.706075,-73.756337,Queens
Park Slope-Gowanus,40.676409,-73.98029,Brooklyn
Central Harlem North-Polo Grounds,40.822924,-73.941723,Manhattan
Queensbridge-Ravenswood-Long Island City,40.752724,-73.927183,Queens
Midtown-Midtown South,40.763036,-73.981711,Manhattan
East Village,40.732206,-73.984823,Manhattan
Washington Heights North,40.854876,-73.92939,Manhattan
West Concourse,40.834904,-73.918226,Bronx
Hamilton Heights,40.830746,-73.943446,Manhattan
Erasmus,40.648733,-73.952414,Brooklyn
Fort Greene,40.688851,-73.980613,Brooklyn
University Heights-Morris Heights,40.85393,-73.907502,Bronx
Sunset Park West,40.657704,-74.000689,Brooklyn
Fordham South,40.857227,-73.899218,Bronx
Hudson Yards-Chelsea-Flatiron-Union Square,40.7436,-74.003588,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.73864,-73.996057,Manhattan
Bedford Park-Fordham North,40.861905,-73.894827,Bronx
Jackson Heights,40.747971,-73.881387,Queens
Brownsville,40.669368,-73.912433,Brooklyn
Midtown-Midtown South,40.745989,-73.990712,Manhattan
East Williamsburg,40.705768,-73.94303,Brooklyn
Washington Heights North,40.850248,-73.932926,Manhattan
Jamaica,40.698501,-73.806622,Queens
Lenox Hill-Roosevelt Island,40.761049,-73.964181,Manhattan
East New York,40.677043,-73.899212,Brooklyn
North Side-South Side,40.712112,-73.9571476,Brooklyn
Park Slope-Gowanus,40.667873,-73.987509,Brooklyn
Midtown-Midtown South,40.766649,-73.97935,Manhattan
South Ozone Park,40.6784155,-73.833121,Queens
Midtown-Midtown South,40.746709,-73.986207,Manhattan
Greenpoint,40.722533,-73.954689,Brooklyn
Upper West Side,40.792132,-73.973409,Manhattan
Grasmere-Arrochar-Ft. Wadsworth,40.598002,-74.08305,Staten Island
Forest Hills,40.720017,-73.844787,Queens
East Harlem North,40.797835,-73.940256,Manhattan
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.686177,-73.991014,Brooklyn
Morningside Heights,40.805516,-73.966052,Manhattan
Turtle Bay-East Midtown,40.752665,-73.972843,Manhattan
Kingsbridge Heights,40.867371,-73.897645,Bronx
Richmond Hill,40.698095,-73.834847,Queens
Crown Heights South,40.670318,-73.958172,Brooklyn
Midtown-Midtown South,40.760883,-73.984277,Manhattan
East Village,40.734141,-73.989412,Manhattan
SoHo-TriBeCa-Civic Center-Little Italy,40.715727,-74.007185,Manhattan
Murray Hill-Kips Bay,40.741711,-73.977973,Manhattan
Flatbush,40.640666,-73.955924,Brooklyn
Jackson Heights,40.7565604,-73.8768487,Queens
Washington Heights South,40.835135,-73.943873,Manhattan
Prospect Heights,40.676408,-73.96361,Brooklyn
Hunts Point,40.817655,-73.888462,Bronx
Lenox Hill-Roosevelt Island,40.762107,-73.965809,Manhattan
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.687901,-73.993147,Brooklyn
Richmond Hill,40.699888,-73.831131,Queens
Hudson Yards-Chelsea-Flatiron-Union Square,40.737561,-73.996841,Manhattan
Jamaica,40.703352,-73.799923,Queens
Hudson Yards-Chelsea-Flatiron-Union Square,40.739166,-73.991199,Manhattan
Murray Hill-Kips Bay,40.749832,-73.98156,Manhattan
Central Harlem North-Polo Grounds,40.829002,-73.937279,Manhattan
Mount Hope,40.84873,-73.91147,Bronx
Stuyvesant Heights,40.678654,-73.916507,Brooklyn
West Concourse,40.817512,-73.928886,Bronx
Upper West Side,40.781705,-73.980809,Manhattan
Baisley Park,40.673311,-73.795796,Queens
Forest Hills,40.718953,-73.838976,Queens
Upper West Side,40.785068,-73.978633,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.742803,-74.00417,Manhattan
Astoria,40.76272,-73.926808,Queens
Hamilton Heights,40.826707,-73.946665,Manhattan
Georgetown-Marine Park-Bergen Beach-Mill Basin,40.6155683,-73.9141872,Brooklyn
Jackson Heights,40.748168,-73.879511,Queens
Washington Heights South,40.834189,-73.94545,Manhattan
East Village,40.731539,-73.983246,Manhattan
Brownsville,40.6658969,-73.9196083,Brooklyn
West Village,40.73857046,-73.99993241,Manhattan
Midtown-Midtown South,40.760474,-73.976099,Manhattan
Midtown-Midtown South,40.746251,-73.990506,Manhattan
Westerleigh,40.613177,-74.119224,Staten Island
Upper West Side,40.793962,-73.970571,Manhattan
Norwood,40.872944,-73.878639,Bronx
Jackson Heights,40.754699,-73.890832,Queens
Hunters Point-Sunnyside-West Maspeth,40.744608,-73.933726,Queens
Port Richmond,40.624318,-74.137389,Staten Island
SoHo-TriBeCa-Civic Center-Little Italy,40.714209,-74.006512,Manhattan
Lincoln Square,40.774723,-73.982005,Manhattan
Washington Heights South,40.84787,-73.937781,Manhattan
Gramercy,40.740989,-73.981732,Manhattan
Gramercy,40.736214,-73.9849,Manhattan
Hunters Point-Sunnyside-West Maspeth,40.74929,-73.95445,Queens
Midtown-Midtown South,40.746511,-73.984099,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.743097,-73.992812,Manhattan
Upper West Side,40.785682,-73.972629,Manhattan
"Queensbridge, Ravenwood, LIC",40.7522977,-73.9389695,Queens
Hamilton Heights,40.829675,-73.947866,Manhattan
Chinatown,40.721716,-73.993343,Manhattan
Upper West Side,40.796374,-73.968542,Manhattan
Upper West Side,40.7977,-73.96784,Manhattan
Washington Heights South,40.835586,-73.939589,Manhattan
Upper East Side-Carnegie Hill,40.763419,-73.966995,Manhattan
St. Albans,40.69955,-73.74748,Queens
Queensbridge-Ravenswood-Long Island City,40.75212,-73.94257,Queens
Upper West Side,40.782285,-73.980476,Manhattan
Clinton,40.766683,-73.99021,Manhattan
Kingsbridge Heights,40.862644,-73.903244,Bronx
Hunters Point-Sunnyside-West Maspeth,40.753746,-73.917703,Queens
Richmond Hill,40.697563,-73.83628,Queens
Midtown-Midtown South,40.744614,-73.985069,Manhattan
Mott Haven-Port Morris,40.810896,-73.921434,Bronx
East Harlem South,40.791481,-73.944895,Manhattan
Turtle Bay-East Midtown,40.757701,-73.963213,Manhattan
Gramercy,40.734031,-73.986488,Manhattan
Brownsville,40.6653401,-73.9213909,Brooklyn
Prospect Heights,40.672748,-73.962694,Brooklyn
Turtle Bay-East Midtown,40.748673,-73.973326,Manhattan
Upper East Side-Carnegie Hill,40.779635,-73.953537,Manhattan
Upper East Side-Carnegie Hill,40.769749,-73.966763,Manhattan
Murray Hill-Kips Bay,40.746881,-73.981064,Manhattan
Upper East Side-Carnegie Hill,40.774281,-73.96346,Manhattan
Richmond Hill,40.696331,-73.837842,Queens
West Village,40.735984,-73.99799,Manhattan
East Harlem North,40.80287,-73.93627,Manhattan
Murray Hill-Kips Bay,40.745863,-73.980233,Manhattan
Chinatown,40.721773,-73.989421,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.739107,-73.99915,Manhattan
Turtle Bay-East Midtown,40.751834,-73.970593,Manhattan
Upper West Side,40.796425,-73.970279,Manhattan
Central Harlem North-Polo Grounds,40.818505,-73.941152,Manhattan
St. Albans,40.688221,-73.776649,Queens
Midtown-Midtown South,40.754593,-73.988137,Manhattan
Baisley Park,40.679278,-73.779868,Queens
Morningside Heights,40.803579,-73.966917,Manhattan
Hunters Point-Sunnyside-West Maspeth,40.74325,-73.95962,Queens
Hunters Point-Sunnyside-West Maspeth,40.742211,-73.918995,Queens
Lower East Side,40.71327,-73.98387,Manhattan
Upper West Side,40.787698,-73.971413,Manhattan
Elmhurst,40.747742,-73.88227,Queens
Hunters Point-Sunnyside-West Maspeth,40.747667,-73.94142,Queens
Upper West Side,40.788705,-73.976411,Manhattan
Melrose South-Mott Haven North,40.81851,-73.914614,Bronx
Clinton,40.764338,-73.984767,Manhattan
Gramercy,40.740041,-73.982424,Manhattan
Central Harlem North-Polo Grounds,40.818029,-73.941924,Manhattan
Hunters Point-Sunnyside-West Maspeth,40.746089,-73.945246,Queens
Turtle Bay-East Midtown,40.750966,-73.974148,Manhattan
Jamaica,40.707945,-73.795266,Queens
Hunters Point-Sunnyside-West Maspeth,40.74433,-73.91403,Queens
Park Slope-Gowanus,40.674556,-73.981936,Brooklyn
Hudson Yards-Chelsea-Flatiron-Union Square,40.748842,-74.006704,Manhattan
Upper East Side-Carnegie Hill,40.767331,-73.962523,Manhattan
Yorkville,40.778233,-73.952821,Manhattan
Upper West Side,40.784096,-73.974049,Manhattan
Turtle Bay-East Midtown,40.749658,-73.975104,Manhattan
Turtle Bay-East Midtown,40.761559,-73.968391,Manhattan
Jamaica,40.706357,-73.792205,Queens
Lincoln Square,40.769816,-73.981929,Manhattan
Elmhurst,40.748878,-73.871463,Queens
Clinton,40.758666,-73.9889,Manhattan
Turtle Bay-East Midtown,40.758689,-73.965589,Manhattan
Fordham South,40.857756,-73.901091,Bronx
Central Harlem North-Polo Grounds,40.815696,-73.947002,Manhattan
North Side-South Side,40.70878,-73.959183,Brooklyn
East Harlem South,40.791203,-73.944784,Manhattan
Hamilton Heights,40.829037,-73.948869,Manhattan
Turtle Bay-East Midtown,40.749301,-73.974818,Manhattan
Sunset Park West,40.659745,-73.998986,Brooklyn
Washington Heights South,40.84904,-73.936797,Manhattan
Central Harlem North-Polo Grounds,40.820122,-73.943776,Manhattan
Turtle Bay-East Midtown,40.760347,-73.967306,Manhattan
West Concourse,40.831467,-73.921747,Bronx
Forest Hills,40.717664,-73.836262,Queens
North Side-South Side,40.718513,-73.957231,Brooklyn
Upper West Side,40.800681,-73.96826,Manhattan
Astoria,40.75337,-73.91232,Queens
Mott Haven-Port Morris,40.808293,-73.923332,Bronx
Park Slope-Gowanus,40.681596,-73.977038,Brooklyn
East Village,40.734127,-73.989778,Manhattan
Cypress Hills-City Line,40.684625,-73.868975,Brooklyn
Hudson Yards-Chelsea-Flatiron-Union Square,40.743971,-73.991883,Manhattan
East Village,40.723807,-73.988224,Manhattan
Old Astoria,40.770747,-73.920354,Queens
Midtown-Midtown South,40.753059,-73.987386,Manhattan
Mount Hope,40.851329,-73.908266,Bronx
Upper West Side,40.799331,-73.968232,Manhattan
Battery Park City-Lower Manhattan,40.70391,-74.009082,Manhattan
Turtle Bay-East Midtown,40.753496,-73.969261,Manhattan
Midtown-Midtown South,40.747627,-73.985037,Manhattan
Yorkville,40.779367,-73.953327,Manhattan
Crown Heights North,40.680015,-73.943843,Brooklyn
West Concourse,40.818886,-73.929213,Bronx
East Harlem North,40.800142,-73.944966,Manhattan
Bedford Park-Fordham North,40.862347,-73.893894,Bronx
Flatbush,40.645262,-73.958144,Brooklyn
Central Harlem North-Polo Grounds,40.812656,-73.949489,Manhattan
Marble Hill-Inwood,40.868946,-73.9159497,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.73728,-73.992826,Manhattan
Lenox Hill-Roosevelt Island,40.767234,-73.96229,Manhattan
Upper West Side,40.79331,-73.971045,Manhattan
Gramercy,40.73477,-73.986259,Manhattan
Murray Hill-Kips Bay,40.743229,-73.981797,Manhattan
New Dorp-Midland Beach,40.581677,-74.11135,Staten Island
SoHo-TriBeCa-Civic Center-Little Italy,40.717805,-74.005815,Manhattan
Upper East Side-Carnegie Hill,40.770459,-73.966224,Manhattan
Bushwick North,40.70754,-73.92196,Brooklyn
Jamaica,40.704609,-73.796801,Queens
Woodhaven,40.693166,-73.853678,Queens
Crown Heights North,40.674039,-73.956826,Brooklyn
Washington Heights South,40.843034,-73.939086,Manhattan
Mott Haven-Port Morris,40.809668,-73.922623,Bronx
Lincoln Square,40.77497,-73.981079,Manhattan
Murray Hill-Kips Bay,40.740894,-73.978561,Manhattan
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.68721,-73.981719,Brooklyn
Chinatown,40.71792,-73.99494,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.742573,-73.986648,Manhattan
Upper West Side,40.783191,-73.980253,Manhattan
Hunters Point-Sunnyside-West Maspeth,40.753522,-73.914501,Queens
Sunset Park West,40.662189,-73.996017,Brooklyn
Hamilton Heights,40.822633,-73.94964,Manhattan
West Village,40.73116,-73.994079,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.745443,-73.998619,Manhattan
Midtown-Midtown South,40.746155,-73.994286,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.743919,-73.999645,Manhattan
Turtle Bay-East Midtown,40.756944,-73.96407,Manhattan
Kingsbridge Heights,40.862685,-73.907548,Bronx
Hamilton Heights,40.828542,-73.949132,Manhattan
Mount Hope,40.852025,-73.902654,Bronx
Hudson Yards-Chelsea-Flatiron-Union Square,40.75414,-73.99234,Manhattan
Hamilton Heights,40.830876,-73.946986,Manhattan
Crown Heights South,40.665656,-73.956692,Brooklyn
Sunset Park West,40.6548288,-74.014243,Brooklyn
Upper West Side,40.797946,-73.971379,Manhattan
SoHo-TriBeCa-Civic Center-Little Italy,40.727115,-74.003502,Manhattan
Elmhurst-Maspeth,40.738109,-73.885717,Queens
Clinton,40.76779,-73.989659,Manhattan
East Harlem North,40.798646,-73.941422,Manhattan
Astoria,40.763621,-73.914259,Queens
SoHo-TriBeCa-Civic Center-Little Italy,40.720568,-74.006556,Manhattan
Richmond Hill,40.697902,-73.835657,Queens
Jackson Heights,40.750343,-73.878037,Queens
Hunters Point-Sunnyside-West Maspeth,40.744921,-73.947663,Queens
Far Rockaway-Bayswater,40.6023199,-73.7506972,Queens
Upper West Side,40.784612,-73.973407,Manhattan
Upper West Side,40.791763,-73.96819,Manhattan
Fort Greene,40.693309,-73.969788,Brooklyn
Morningside Heights,40.809965,-73.958889,Manhattan
Turtle Bay-East Midtown,40.760005,-73.967568,Manhattan
Lincoln Square,40.777137,-73.981904,Manhattan
East Village,40.728232,-73.987818,Manhattan
Mount Hope,40.8505,-73.89941,Bronx
Forest Hills,40.714861,-73.832341,Queens
Washington Heights North,40.852412,-73.931338,Manhattan
Washington Heights North,40.855615,-73.928997,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.7427,-73.9968,Manhattan
Gramercy,40.736747,-73.981608,Manhattan
Turtle Bay-East Midtown,40.754371,-73.96565,Manhattan
Upper West Side,40.797178,-73.968223,Manhattan
East Village,40.728158,-73.988125,Manhattan
Astoria,40.754488,-73.911687,Queens
Crown Heights North,40.677504,-73.949697,Brooklyn
Hudson Yards-Chelsea-Flatiron-Union Square,40.753107,-73.992947,Manhattan
Crown Heights North,40.67896,-73.924424,Brooklyn
Morningside Heights,40.811845,-73.957517,Manhattan
Clinton,40.758831,-73.98878,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.740836,-73.988136,Manhattan
Jackson Heights,40.748869,-73.872933,Queens
Upper East Side-Carnegie Hill,40.76588,-73.963583,Manhattan
West Concourse,40.839445,-73.915848,Bronx
Upper West Side,40.793524,-73.970887,Manhattan
Clinton,40.761816,-73.986606,Manhattan
Hunters Point-Sunnyside-West Maspeth,40.743976,-73.927772,Queens
Upper West Side,40.799042,-73.968809,Manhattan
Turtle Bay-East Midtown,40.755356,-73.971251,Manhattan
,40.76944,-73.8423,Queens
East Harlem South,40.791282,-73.944218,Manhattan
Murray Hill-Kips Bay,40.749503,-73.977195,Manhattan
Turtle Bay-East Midtown,40.757975,-73.966421,Manhattan
Clinton,40.767663,-73.98949,Manhattan
SoHo-TriBeCa-Civic Center-Little Italy,40.718198,-74.000048,Manhattan
Upper West Side,40.794604,-73.969837,Manhattan
Morningside Heights,40.807508,-73.964488,Manhattan
Upper West Side,40.787247,-73.977646,Manhattan
Lincoln Square,40.776626,-73.982323,Manhattan
Hamilton Heights,40.825419,-73.947604,Manhattan
Midtown-Midtown South,40.746116,-73.990792,Manhattan
Central Harlem South,40.811325,-73.952053,Manhattan
Central Harlem North-Polo Grounds,40.816446,-73.942649,Manhattan
Hamilton Heights,40.830336,-73.943756,Manhattan
Yorkville,40.778605,-73.953715,Manhattan
Lincoln Square,40.775532,-73.981973,Manhattan
Jamaica,40.705819,-73.809058,Queens
Elmhurst-Maspeth,40.746707,-73.893448,Queens
Upper West Side,40.793181,-73.972649,Manhattan
Upper West Side,40.781474,-73.980961,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.750227,-73.995051,Manhattan
Washington Heights North,40.852917,-73.930827,Manhattan
Jamaica,40.706233,-73.799947,Queens
Central Harlem North-Polo Grounds,40.814863,-73.947877,Manhattan
Upper West Side,40.791576,-73.976024,Manhattan
Upper West Side,40.786654,-73.972311,Manhattan
Richmond Hill,40.695048,-73.846656,Queens
Murray Hill-Kips Bay,40.740218,-73.981988,Manhattan
Turtle Bay-East Midtown,40.748121,-73.973604,Manhattan
Bedford Park-Fordham North,40.862449,-73.898127,Bronx
Turtle Bay-East Midtown,40.75678,-73.96698,Manhattan
Park Slope-Gowanus,40.680323,-73.978034,Brooklyn
Murray Hill-Kips Bay,40.739975,-73.982035,Manhattan
Oakwood-Oakwood Beach,40.565852,-74.114224,Staten Island
Hudson Yards-Chelsea-Flatiron-Union Square,40.7529434,-74.00421615,Manhattan
Hunters Point-Sunnyside-West Maspeth,40.741303,-73.919006,Queens
Bushwick South,40.708922,-73.94339,Brooklyn
Jamaica,40.71452,-73.775133,Queens
Bushwick South,40.699954,-73.940268,Brooklyn
St. Albans,40.676667,-73.755654,Queens
Turtle Bay-East Midtown,40.758993,-73.968727,Manhattan
Elmhurst,40.748049,-73.879386,Queens
Elmhurst-Maspeth,40.740937,-73.879925,Queens
East Village,40.729831,-73.986658,Manhattan
Hamilton Heights,40.82509,-73.951656,Manhattan
Prospect Lefferts Gardens-Wingate,40.660758,-73.931466,Brooklyn
Washington Heights South,40.837104,-73.942288,Manhattan
Upper West Side,40.797391,-73.96807,Manhattan
Hunters Point-Sunnyside-West Maspeth,40.75191,-73.929992,Queens
Astoria,40.756073,-73.912975,Queens
Baisley Park,40.682676,-73.781852,Queens
Greenpoint,40.72329,-73.952603,Brooklyn
Midtown-Midtown South,40.759713,-73.984131,Manhattan
Hollis,40.713608,-73.755938,Queens
Hunts Point,40.808927,-73.882082,Bronx
SoHo-TriBeCa-Civic Center-Little Italy,40.715484,-74.002667,Manhattan
East Village,40.73108,-73.985739,Manhattan
Hunters Point-Sunnyside-West Maspeth,40.74445,-73.931875,Queens
Lenox Hill-Roosevelt Island,40.761977,-73.963213,Manhattan
Washington Heights South,40.833285,-73.945092,Manhattan
Central Harlem North-Polo Grounds,40.812611,-73.945458,Manhattan
Cypress Hills-City Line,40.691021,-73.868095,Brooklyn
Lenox Hill-Roosevelt Island,40.768939,-73.960967,Manhattan
Manhattanville,40.82028,-73.955268,Manhattan
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.688449,-73.982472,Brooklyn
Elmhurst,40.747059,-73.88882,Queens
Bushwick South,40.697517,-73.935825,Brooklyn
Mott Haven-Port Morris,40.812079,-73.92659,Bronx
Crown Heights South,40.668156,-73.958801,Brooklyn
Stapleton-Rosebank,40.637984,-74.077101,Staten Island
Lenox Hill-Roosevelt Island,40.763218,-73.959202,Manhattan
Crown Heights North,40.679752,-73.939101,Brooklyn
Crown Heights South,40.664073,-73.939992,Brooklyn
Upper West Side,40.787028,-73.977832,Manhattan
Midtown-Midtown South,40.752949,-73.992762,Manhattan
East Williamsburg,40.705371,-73.949963,Brooklyn
Marine Park-Mill Basin-Bergen Beach,40.62211,-73.90363,Brooklyn
East Elmhurst,40.757485,-73.868589,Queens
Turtle Bay-East Midtown,40.753751,-73.96597,Manhattan
Murray Hill-Kips Bay,40.739762,-73.979693,Manhattan
Upper West Side,40.797394,-73.970011,Manhattan
Ocean Hill,40.678079,-73.908374,Brooklyn
Hudson Yards-Chelsea-Flatiron-Union Square,40.737886,-73.996604,Manhattan
Elmhurst-Maspeth,40.739393,-73.892498,Queens
Hunts Point,40.816952,-73.895711,Bronx
Lower East Side,40.720392,-73.98434,Manhattan
