"date","program_type","vacancies_per_day","beds_per_day","vacant_per_day"
"2019-11-03T00:00:00.000","Crisis Shelters","36","258","0.14"
"2019-11-03T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-11-03T00:00:00.000","Transitional Independent Living (TIL)","101","493","0.2"
"2019-11-04T00:00:00.000","Crisis Shelters","36","258","0.14"
"2019-11-04T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-04T00:00:00.000","Transitional Independent Living (TIL)","110","493","0.22"
"2019-11-05T00:00:00.000","Crisis Shelters","35","258","0.14"
"2019-11-05T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-05T00:00:00.000","Transitional Independent Living (TIL)","111","493","0.23"
"2019-11-06T00:00:00.000","Crisis Shelters","29","258","0.11"
"2019-11-06T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-06T00:00:00.000","Transitional Independent Living (TIL)","106","493","0.22"
"2019-11-07T00:00:00.000","Crisis Shelters","37","258","0.14"
"2019-11-07T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-07T00:00:00.000","Transitional Independent Living (TIL)","107","493","0.22"
"2019-11-08T00:00:00.000","Crisis Shelters","34","258","0.13"
"2019-11-08T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-08T00:00:00.000","Transitional Independent Living (TIL)","106","493","0.22"
"2019-11-09T00:00:00.000","Crisis Shelters","33","258","0.13"
"2019-11-09T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-09T00:00:00.000","Transitional Independent Living (TIL)","106","493","0.22"
"2019-11-10T00:00:00.000","Crisis Shelters","31","258","0.12"
"2019-11-10T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-10T00:00:00.000","Transitional Independent Living (TIL)","106","493","0.22"
"2019-11-11T00:00:00.000","Crisis Shelters","34","258","0.13"
"2019-11-11T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-11T00:00:00.000","Transitional Independent Living (TIL)","102","493","0.21"
"2019-11-12T00:00:00.000","Crisis Shelters","33","258","0.13"
"2019-11-12T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-12T00:00:00.000","Transitional Independent Living (TIL)","104","493","0.21"
"2019-11-13T00:00:00.000","Crisis Shelters","33","258","0.13"
"2019-11-13T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-13T00:00:00.000","Transitional Independent Living (TIL)","100","493","0.2"
"2019-11-14T00:00:00.000","Crisis Shelters","36","258","0.14"
"2019-11-14T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-14T00:00:00.000","Transitional Independent Living (TIL)","96","493","0.19"
"2019-11-15T00:00:00.000","Crisis Shelters","37","258","0.14"
"2019-11-15T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-15T00:00:00.000","Transitional Independent Living (TIL)","96","493","0.19"
"2019-11-16T00:00:00.000","Crisis Shelters","33","258","0.13"
"2019-11-16T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-16T00:00:00.000","Transitional Independent Living (TIL)","94","493","0.19"
"2019-11-17T00:00:00.000","Crisis Shelters","31","258","0.12"
"2019-11-17T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-17T00:00:00.000","Transitional Independent Living (TIL)","93","493","0.19"
"2019-11-18T00:00:00.000","Crisis Shelters","28","258","0.11"
"2019-11-18T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-18T00:00:00.000","Transitional Independent Living (TIL)","96","493","0.19"
"2019-11-19T00:00:00.000","Crisis Shelters","27","258","0.1"
"2019-11-19T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-19T00:00:00.000","Transitional Independent Living (TIL)","96","493","0.19"
"2019-11-20T00:00:00.000","Crisis Shelters","26","258","0.1"
"2019-11-20T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-20T00:00:00.000","Transitional Independent Living (TIL)","95","493","0.19"
"2019-11-21T00:00:00.000","Crisis Shelters","27","258","0.1"
"2019-11-21T00:00:00.000","Transitional Independent Living (HYA)","15","25","0.6"
"2019-11-21T00:00:00.000","Transitional Independent Living (TIL)","90","493","0.18"
"2019-11-22T00:00:00.000","Crisis Shelters","22","258","0.09"
"2019-11-22T00:00:00.000","Transitional Independent Living (HYA)","14","25","0.56"
"2019-11-22T00:00:00.000","Transitional Independent Living (TIL)","86","493","0.17"
"2019-11-23T00:00:00.000","Crisis Shelters","26","258","0.1"
"2019-11-23T00:00:00.000","Transitional Independent Living (HYA)","14","25","0.56"
"2019-11-23T00:00:00.000","Transitional Independent Living (TIL)","83","493","0.17"
"2019-11-24T00:00:00.000","Crisis Shelters","27","258","0.1"
"2019-11-24T00:00:00.000","Transitional Independent Living (HYA)","14","25","0.56"
"2019-11-24T00:00:00.000","Transitional Independent Living (TIL)","83","493","0.17"
"2019-11-25T00:00:00.000","Crisis Shelters","33","258","0.13"
"2019-11-25T00:00:00.000","Transitional Independent Living (HYA)","13","25","0.52"
"2019-11-25T00:00:00.000","Transitional Independent Living (TIL)","81","493","0.16"
"2019-11-26T00:00:00.000","Crisis Shelters","32","258","0.12"
"2019-11-26T00:00:00.000","Transitional Independent Living (HYA)","13","25","0.52"
"2019-11-26T00:00:00.000","Transitional Independent Living (TIL)","81","493","0.16"
"2019-11-27T00:00:00.000","Crisis Shelters","31","258","0.12"
"2019-11-27T00:00:00.000","Transitional Independent Living (HYA)","13","25","0.52"
"2019-11-27T00:00:00.000","Transitional Independent Living (TIL)","75","493","0.15"
"2019-11-28T00:00:00.000","Crisis Shelters","36","258","0.14"
"2019-11-28T00:00:00.000","Transitional Independent Living (HYA)","13","25","0.52"
"2019-11-28T00:00:00.000","Transitional Independent Living (TIL)","79","493","0.16"
"2019-11-29T00:00:00.000","Crisis Shelters","33","258","0.13"
"2019-11-29T00:00:00.000","Transitional Independent Living (HYA)","13","25","0.52"
"2019-11-29T00:00:00.000","Transitional Independent Living (TIL)","80","493","0.16"
"2019-11-30T00:00:00.000","Crisis Shelters","33","258","0.13"
"2019-11-30T00:00:00.000","Transitional Independent Living (HYA)","11","25","0.44"
"2019-11-30T00:00:00.000","Transitional Independent Living (TIL)","83","493","0.17"
"2019-12-01T00:00:00.000","Crisis Shelters","30","258","0.12"
"2019-12-01T00:00:00.000","Transitional Independent Living (HYA)","11","25","0.44"
"2019-12-01T00:00:00.000","Transitional Independent Living (TIL)","85","493","0.17"
"2019-12-02T00:00:00.000","Crisis Shelters","29","258","0.11"
"2019-12-02T00:00:00.000","Transitional Independent Living (HYA)","10","25","0.4"
"2019-12-02T00:00:00.000","Transitional Independent Living (TIL)","90","493","0.18"
"2019-12-03T00:00:00.000","Crisis Shelters","31","258","0.12"
"2019-12-03T00:00:00.000","Transitional Independent Living (HYA)","10","25","0.4"
"2019-12-03T00:00:00.000","Transitional Independent Living (TIL)","88","493","0.18"
"2019-12-04T00:00:00.000","Crisis Shelters","30","258","0.12"
"2019-12-04T00:00:00.000","Transitional Independent Living (HYA)","8","25","0.32"
"2019-12-04T00:00:00.000","Transitional Independent Living (TIL)","86","493","0.17"
"2019-12-05T00:00:00.000","Crisis Shelters","27","258","0.1"
"2019-12-05T00:00:00.000","Transitional Independent Living (HYA)","6","25","0.24"
"2019-12-05T00:00:00.000","Transitional Independent Living (TIL)","87","493","0.18"
"2019-12-06T00:00:00.000","Crisis Shelters","30","258","0.12"
"2019-12-06T00:00:00.000","Transitional Independent Living (HYA)","4","25","0.16"
"2019-12-06T00:00:00.000","Transitional Independent Living (TIL)","85","493","0.17"
"2019-12-07T00:00:00.000","Crisis Shelters","28","258","0.11"
"2019-12-07T00:00:00.000","Transitional Independent Living (HYA)","5","25","0.2"
"2019-12-07T00:00:00.000","Transitional Independent Living (TIL)","87","493","0.18"
"2019-12-08T00:00:00.000","Crisis Shelters","27","258","0.1"
"2019-12-08T00:00:00.000","Transitional Independent Living (HYA)","5","25","0.2"
"2019-12-08T00:00:00.000","Transitional Independent Living (TIL)","85","493","0.17"
"2019-12-09T00:00:00.000","Crisis Shelters","29","258","0.11"
"2019-12-09T00:00:00.000","Transitional Independent Living (HYA)","5","25","0.2"
"2019-12-09T00:00:00.000","Transitional Independent Living (TIL)","82","493","0.17"
"2019-12-10T00:00:00.000","Crisis Shelters","28","258","0.11"
"2019-12-10T00:00:00.000","Transitional Independent Living (HYA)","5","25","0.2"
"2019-12-10T00:00:00.000","Transitional Independent Living (TIL)","81","493","0.16"
"2019-12-11T00:00:00.000","Crisis Shelters","30","258","0.12"
"2019-12-11T00:00:00.000","Transitional Independent Living (HYA)","5","25","0.2"
"2019-12-11T00:00:00.000","Transitional Independent Living (TIL)","77","493","0.16"
"2019-12-12T00:00:00.000","Crisis Shelters","34","258","0.13"
"2019-12-12T00:00:00.000","Transitional Independent Living (HYA)","4","25","0.16"
"2019-12-12T00:00:00.000","Transitional Independent Living (TIL)","73","493","0.15"
"2019-12-13T00:00:00.000","Crisis Shelters","36","258","0.14"
"2019-12-13T00:00:00.000","Transitional Independent Living (HYA)","4","25","0.16"
"2019-12-13T00:00:00.000","Transitional Independent Living (TIL)","76","493","0.15"
"2019-12-14T00:00:00.000","Crisis Shelters","34","258","0.13"
"2019-12-14T00:00:00.000","Transitional Independent Living (HYA)","3","25","0.12"
"2019-12-14T00:00:00.000","Transitional Independent Living (TIL)","75","493","0.15"
"2019-12-15T00:00:00.000","Crisis Shelters","30","258","0.12"
"2019-12-15T00:00:00.000","Transitional Independent Living (HYA)","3","25","0.12"
"2019-12-15T00:00:00.000","Transitional Independent Living (TIL)","72","493","0.15"
"2019-12-16T00:00:00.000","Crisis Shelters","32","258","0.12"
"2019-12-16T00:00:00.000","Transitional Independent Living (HYA)","3","25","0.12"
"2019-12-16T00:00:00.000","Transitional Independent Living (TIL)","72","493","0.15"
"2019-12-17T00:00:00.000","Crisis Shelters","31","258","0.12"
"2019-12-17T00:00:00.000","Transitional Independent Living (HYA)","2","25","0.08"
"2019-12-17T00:00:00.000","Transitional Independent Living (TIL)","66","493","0.13"
"2019-12-18T00:00:00.000","Crisis Shelters","26","258","0.1"
"2019-12-18T00:00:00.000","Transitional Independent Living (HYA)","2","25","0.08"
"2019-12-18T00:00:00.000","Transitional Independent Living (TIL)","68","493","0.14"
